cve,rank,reports_submitted_count,epss
CVE-2014-9463,2215,1,0.03104
CVE-2014-9514,2215,1,0.00091
CVE-2014-9514,2215,1,0.00091
CVE-2014-9608,2215,1,0.00102
CVE-2014-9688,2215,1,0.00201
CVE-2014-9705,2215,1,0.2455
CVE-2014-9708,1416,2,0.06365
CVE-2014-9709,2215,1,0.03919
CVE-2014-9721,2215,1,0.00465
CVE-2014-9734,2215,1,0.37477
CVE-2014-9734,2215,1,0.37477
CVE-2014-9912,1416,2,0.01086
CVE-2015-0072,1416,2,0.97181
CVE-2015-0072,1416,2,0.97181
CVE-2015-0204,206,40,0.94826
CVE-2015-0205,1098,3,0.02366
